
2026/01/14 (15:01:28) | ===> btop++ v.1.3.0
2026/01/14 (15:01:28) | INFO: Logger set to INFO
2026/01/14 (15:01:30) | INFO: Logger set to DEBUG
2026/01/14 (15:01:31) | INFO: Logger set to INFO
2026/01/14 (15:01:32) | INFO: Logger set to DEBUG
2026/01/14 (15:01:35) | DEBUG: Loading theme file: /usr/share/btop/themes/dusklight.theme
2026/01/14 (15:01:36) | DEBUG: Loading theme file: /usr/share/btop/themes/matcha-dark-sea.theme
2026/01/14 (15:01:36) | DEBUG: Loading theme file: /usr/share/btop/themes/paper.theme
2026/01/14 (15:01:37) | DEBUG: Loading theme file: /usr/share/btop/themes/tokyo-storm.theme
2026/01/14 (15:01:37) | DEBUG: Loading theme file: /usr/share/btop/themes/ayu.theme
2026/01/14 (15:01:38) | DEBUG: Loading theme file: /usr/share/btop/themes/adapta.theme
2026/01/14 (15:01:38) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme
2026/01/14 (15:01:39) | DEBUG: Loading theme file: /usr/share/btop/themes/HotPurpleTrafficLight.theme
2026/01/14 (15:01:40) | DEBUG: Loading theme file: /usr/share/btop/themes/greyscale.theme
2026/01/14 (15:01:40) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme
2026/01/14 (15:01:41) | DEBUG: Loading theme file: /usr/share/btop/themes/solarized_light.theme
2026/01/14 (15:01:42) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix-light.theme
2026/01/14 (15:01:42) | DEBUG: Loading theme file: /usr/share/btop/themes/horizon.theme
2026/01/14 (15:01:43) | DEBUG: Loading theme file: /usr/share/btop/themes/whiteout.theme
2026/01/14 (15:01:44) | DEBUG: Loading theme file: /usr/share/btop/themes/nord.theme
2026/01/14 (15:01:44) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark.theme
2026/01/14 (15:01:45) | DEBUG: Loading theme file: /usr/share/btop/themes/everforest-dark-hard.theme
2026/01/14 (15:01:46) | DEBUG: Loading theme file: /usr/share/btop/themes/night-owl.theme
2026/01/14 (15:01:46) | DEBUG: Loading theme file: /usr/share/btop/themes/monokai.theme
2026/01/14 (15:01:47) | DEBUG: Loading theme file: /usr/share/btop/themes/solarized_dark.theme
2026/01/14 (15:01:47) | DEBUG: Loading theme file: /usr/share/btop/themes/onedark.theme
2026/01/14 (15:01:48) | DEBUG: Loading theme file: /usr/share/btop/themes/dracula.theme
2026/01/14 (15:01:48) | DEBUG: Loading theme file: /usr/share/btop/themes/kyli0x.theme
2026/01/14 (15:01:49) | DEBUG: Loading theme file: /usr/share/btop/themes/adwaita.theme
2026/01/14 (15:01:49) | DEBUG: Loading theme file: /usr/share/btop/themes/tomorrow-night.theme
2026/01/14 (15:01:50) | DEBUG: Loading theme file: /usr/share/btop/themes/elementarish.theme
2026/01/14 (15:01:51) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark_v2.theme
2026/01/14 (15:01:51) | DEBUG: Loading theme file: /usr/share/btop/themes/tokyo-night.theme
